id,gender,name,birth_date,birth_place,award_year,portion,prize_amount,category,university,university_country
22,male,Charles Glover Barkla,1877-06-07,United Kingdom,1917,1,3991689,Physics,Edinburgh University,United Kingdom
587,male,Henrik Pontoppidan,1857-07-24,Denmark,1917,1/2,3991689,Literature,,
586,male,Karl Gjellerup,1857-06-02,Denmark,1917,1/2,3991689,Literature,,
177,male,Fritz Haber,1868-12-09,Poland,1918,1,2899121,Chemistry,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany
23,male,Max Planck,1858-04-23,Germany,1918,1,2899121,Physics,Berlin University,Germany
588,male,Carl Spitteler,1845-04-24,Switzerland,1919,1,2420376,Literature,,
24,male,Johannes Stark,1874-04-15,Germany,1919,1,2420376,Physics,Greifswald University,Germany
309,male,Jules Bordet,1870-06-13,Belgium,1919,1,2420376,Physiology or Medicine,Brussels University,Belgium
483,male,Woodrow Wilson,1856-12-28,USA,1919,1,2420376,Peace,,
310,male,August Krogh,1874-11-15,Denmark,1920,1,2438066,Physiology or Medicine,Copenhagen University,Denmark
25,male,Charles Edouard Guillaume,1861-02-15,Switzerland,1920,1,2438066,Physics,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),France
589,male,Knut Hamsun,1859-08-04,Norway,1920,1,2438066,Literature,,
484,male,Léon Bourgeois,1851-05-21,France,1920,1,2438066,Peace,,
178,male,Walther Nernst,1864-06-25,Poland,1920,1,2438066,Chemistry,Berlin University,Germany
26,male,Albert Einstein,1879-03-14,Germany,1921,1,2578698,Physics,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany
590,male,Anatole France,1844-04-16,France,1921,1,2578698,Literature,,
486,male,Christian Lange,1869-09-17,Norway,1921,1/2,2578698,Peace,,
179,male,Frederick Soddy,1877-09-02,United Kingdom,1921,1,2578698,Chemistry,University of Oxford,United Kingdom
485,male,Hjalmar Branting,1860-11-23,Sweden,1921,1/2,2578698,Peace,,
311,male,Archibald V. Hill,1886-09-26,United Kingdom,1922,1/2,3203014,Physiology or Medicine,London University,United Kingdom
180,male,Francis W. Aston,1877-09-01,United Kingdom,1922,1,3203014,Chemistry,University of Cambridge,United Kingdom
487,male,Fridtjof Nansen,1861-10-10,Norway,1922,1,3203014,Peace,,
592,male,Jacinto Benavente,1866-08-12,Spain,1922,1,3203014,Literature,,
27,male,Niels Bohr,1885-10-07,Denmark,1922,1,3203014,Physics,Copenhagen University,Denmark
312,male,Otto Meyerhof,1884-04-12,Germany,1922,1/2,3203014,Physiology or Medicine,Kiel University,Germany
313,male,Frederick G. Banting,1891-11-14,Canada,1923,1/2,3226631,Physiology or Medicine,University of Toronto,Canada
181,male,Fritz Pregl,1869-09-03,Slovenia,1923,1,3226631,Chemistry,Graz University,Austria
314,male,John Macleod,1876-09-06,Scotland,1923,1/2,3226631,Physiology or Medicine,University of Toronto,Canada
28,male,Robert A. Millikan,1868-03-22,USA,1923,1,3226631,Physics,California Institute of Technology (Caltech),USA
593,male,William Butler Yeats,1865-06-13,Ireland,1923,1,3226631,Literature,,
29,male,Manne Siegbahn,1886-12-03,Sweden,1924,1,3276714,Physics,Uppsala University,Sweden
315,male,Willem Einthoven,1860-05-21,Indonesia,1924,1,3276714,Physiology or Medicine,Leiden University,the Netherlands
594,male,Wladyslaw Reymont,1867-05-07,Poland,1924,1,3276714,Literature,,
489,male,Charles G. Dawes,1865-08-27,USA,1925,1/2,3269232,Peace,,
596,male,George Bernard Shaw,1856-07-26,Ireland,1925,1,3269232,Literature,,
31,male,Gustav Hertz,1887-07-22,Germany,1925,1/2,3269232,Physics,Halle University,Germany
30,male,James Franck,1882-08-26,Germany,1925,1/2,3269232,Physics,Goettingen University,Germany
182,male,Richard Zsigmondy,1865-04-01,Austria,1925,1,3269232,Chemistry,Goettingen University,Germany
488,male,Sir Austen Chamberlain,1863-10-16,United Kingdom,1925,1/2,3269232,Peace,,
490,male,Aristide Briand,1862-03-28,France,1926,1/2,3332487,Peace,,
597,female,Grazia Deledda,1871-09-27,Italy,1926,1,3332487,Literature,,
